age,year,mx
23,2064,0.00021
23,2065,2e-04
23,2066,2e-04
23,2067,2e-04
23,2068,2e-04
23,2069,2e-04
23,2070,0.00019
23,2071,0.00019
23,2072,0.00019
23,2073,0.00019
23,2074,0.00019
23,2075,0.00018
23,2076,0.00018
23,2077,0.00018
23,2078,0.00018
23,2079,0.00018
23,2080,0.00017
23,2081,0.00017
23,2082,0.00017
23,2083,0.00017
23,2084,0.00017
23,2085,0.00017
23,2086,0.00016
23,2087,0.00016
23,2088,0.00016
23,2089,0.00016
23,2090,0.00016
23,2091,0.00016
23,2092,0.00016
23,2093,0.00015
23,2094,0.00015
23,2095,0.00015
23,2096,0.00015
23,2097,0.00015
23,2098,0.00015
23,2099,0.00014
23,2100,0.00014
24,2022,0.00034
24,2023,0.00033
24,2024,0.00032
24,2025,0.00032
24,2026,0.00032
24,2027,0.00032
24,2028,0.00031
24,2029,0.00031
24,2030,0.00031
24,2031,3e-04
24,2032,3e-04
24,2033,3e-04
24,2034,3e-04
24,2035,0.00029
24,2036,0.00029
24,2037,0.00029
24,2038,0.00028
24,2039,0.00028
24,2040,0.00028
24,2041,0.00028
24,2042,0.00027
24,2043,0.00027
24,2044,0.00027
24,2045,0.00027
24,2046,0.00026
24,2047,0.00026
24,2048,0.00026
24,2049,0.00026
24,2050,0.00025
24,2051,0.00025
24,2052,0.00025
24,2053,0.00025
24,2054,0.00024
24,2055,0.00024
24,2056,0.00024
24,2057,0.00024
24,2058,0.00024
24,2059,0.00023
24,2060,0.00023
24,2061,0.00023
24,2062,0.00023
24,2063,0.00023
24,2064,0.00022
24,2065,0.00022
24,2066,0.00022
24,2067,0.00022
24,2068,0.00021
24,2069,0.00021
24,2070,0.00021
24,2071,0.00021
24,2072,0.00021
24,2073,0.00021
24,2074,2e-04
24,2075,2e-04
24,2076,2e-04
24,2077,2e-04
24,2078,2e-04
24,2079,0.00019
24,2080,0.00019
24,2081,0.00019
24,2082,0.00019
24,2083,0.00019
24,2084,0.00018
24,2085,0.00018
24,2086,0.00018
24,2087,0.00018
24,2088,0.00018
24,2089,0.00018
24,2090,0.00017
24,2091,0.00017
24,2092,0.00017
24,2093,0.00017
24,2094,0.00017
24,2095,0.00017
24,2096,0.00017
24,2097,0.00016
24,2098,0.00016
24,2099,0.00016
24,2100,0.00016
25,2022,0.00036
25,2023,0.00035
25,2024,0.00034
25,2025,0.00034
25,2026,0.00034
25,2027,0.00033
25,2028,0.00033
25,2029,0.00033
25,2030,0.00032
25,2031,0.00032
25,2032,0.00032
25,2033,0.00032
25,2034,0.00031
25,2035,0.00031
25,2036,0.00031
25,2037,3e-04
25,2038,3e-04
25,2039,3e-04
25,2040,3e-04
25,2041,0.00029
25,2042,0.00029
25,2043,0.00029
25,2044,0.00029
25,2045,0.00028
25,2046,0.00028
25,2047,0.00028
25,2048,0.00028
25,2049,0.00027
25,2050,0.00027
25,2051,0.00027
25,2052,0.00027
25,2053,0.00026
25,2054,0.00026
25,2055,0.00026
25,2056,0.00026
25,2057,0.00025
25,2058,0.00025
25,2059,0.00025
25,2060,0.00025
25,2061,0.00025
25,2062,0.00024
25,2063,0.00024
25,2064,0.00024
25,2065,0.00024
25,2066,0.00023
25,2067,0.00023
25,2068,0.00023
25,2069,0.00023
25,2070,0.00023
25,2071,0.00022
25,2072,0.00022
25,2073,0.00022
25,2074,0.00022
25,2075,0.00022
25,2076,0.00021
25,2077,0.00021
25,2078,0.00021
25,2079,0.00021
25,2080,0.00021
25,2081,0.00021
25,2082,2e-04
25,2083,2e-04
25,2084,2e-04
25,2085,2e-04
25,2086,2e-04
25,2087,0.00019
25,2088,0.00019
25,2089,0.00019
25,2090,0.00019
25,2091,0.00019
25,2092,0.00019
25,2093,0.00018
25,2094,0.00018
25,2095,0.00018
25,2096,0.00018
25,2097,0.00018
25,2098,0.00018
25,2099,0.00017
25,2100,0.00017
26,2022,0.00037
26,2023,0.00037
26,2024,0.00036
26,2025,0.00036
26,2026,0.00035
26,2027,0.00035
26,2028,0.00035
26,2029,0.00034
26,2030,0.00034
26,2031,0.00034
26,2032,0.00034
26,2033,0.00033
26,2034,0.00033
26,2035,0.00033
26,2036,0.00032
26,2037,0.00032
26,2038,0.00032
26,2039,0.00032
26,2040,0.00031
26,2041,0.00031
26,2042,0.00031
26,2043,0.00031
26,2044,3e-04
26,2045,3e-04
26,2046,3e-04
26,2047,0.00029
26,2048,0.00029
26,2049,0.00029
26,2050,0.00029
26,2051,0.00028
26,2052,0.00028
26,2053,0.00028
26,2054,0.00028
26,2055,0.00027
26,2056,0.00027
26,2057,0.00027
26,2058,0.00027
26,2059,0.00027
26,2060,0.00026
26,2061,0.00026
26,2062,0.00026
26,2063,0.00026
26,2064,0.00025
26,2065,0.00025
26,2066,0.00025
26,2067,0.00025
26,2068,0.00025
26,2069,0.00024
26,2070,0.00024
26,2071,0.00024
26,2072,0.00024
26,2073,0.00023
26,2074,0.00023
26,2075,0.00023
26,2076,0.00023
26,2077,0.00023
26,2078,0.00022
26,2079,0.00022
26,2080,0.00022
26,2081,0.00022
26,2082,0.00022
26,2083,0.00022
26,2084,0.00021
26,2085,0.00021
26,2086,0.00021
26,2087,0.00021
26,2088,0.00021
26,2089,2e-04
26,2090,2e-04
26,2091,2e-04
26,2092,2e-04
26,2093,2e-04
26,2094,2e-04
26,2095,0.00019
26,2096,0.00019
26,2097,0.00019
26,2098,0.00019
26,2099,0.00019
26,2100,0.00019
27,2022,0.00039
27,2023,0.00039
27,2024,0.00038
27,2025,0.00037
27,2026,0.00037
27,2027,0.00037
27,2028,0.00036
27,2029,0.00036
27,2030,0.00036
27,2031,0.00036
27,2032,0.00035
27,2033,0.00035
27,2034,0.00035
27,2035,0.00034
27,2036,0.00034
27,2037,0.00034
27,2038,0.00034
27,2039,0.00033
27,2040,0.00033
27,2041,0.00033
27,2042,0.00032
27,2043,0.00032
27,2044,0.00032
27,2045,0.00032
27,2046,0.00031
27,2047,0.00031
27,2048,0.00031
27,2049,0.00031
27,2050,3e-04
27,2051,3e-04
27,2052,3e-04
27,2053,3e-04
27,2054,0.00029
27,2055,0.00029
27,2056,0.00029
27,2057,0.00029
27,2058,0.00028
27,2059,0.00028
27,2060,0.00028
27,2061,0.00028
27,2062,0.00027
27,2063,0.00027
27,2064,0.00027
27,2065,0.00027
27,2066,0.00027
27,2067,0.00026
27,2068,0.00026
27,2069,0.00026
27,2070,0.00026
27,2071,0.00025
27,2072,0.00025
27,2073,0.00025
27,2074,0.00025
27,2075,0.00025
27,2076,0.00024
27,2077,0.00024
27,2078,0.00024
27,2079,0.00024
27,2080,0.00024
27,2081,0.00023
27,2082,0.00023
27,2083,0.00023
27,2084,0.00023
27,2085,0.00023
27,2086,0.00022
27,2087,0.00022
27,2088,0.00022
27,2089,0.00022
27,2090,0.00022
27,2091,0.00022
27,2092,0.00021
27,2093,0.00021
27,2094,0.00021
27,2095,0.00021
27,2096,0.00021
27,2097,2e-04
27,2098,2e-04
27,2099,2e-04
27,2100,2e-04
28,2022,0.00041
28,2023,4e-04
28,2024,0.00039
28,2025,0.00039
28,2026,0.00039
28,2027,0.00039
28,2028,0.00038
28,2029,0.00038
28,2030,0.00038
28,2031,0.00037
28,2032,0.00037
28,2033,0.00037
28,2034,0.00036
28,2035,0.00036
28,2036,0.00036
28,2037,0.00036
28,2038,0.00035
28,2039,0.00035
28,2040,0.00035
28,2041,0.00034
28,2042,0.00034
28,2043,0.00034
28,2044,0.00034
28,2045,0.00033
28,2046,0.00033
28,2047,0.00033
28,2048,0.00033
28,2049,0.00032
28,2050,0.00032
28,2051,0.00032
28,2052,0.00032
28,2053,0.00031
28,2054,0.00031
28,2055,0.00031
28,2056,0.00031
28,2057,3e-04
28,2058,3e-04
28,2059,3e-04
28,2060,3e-04
28,2061,0.00029
28,2062,0.00029
28,2063,0.00029
28,2064,0.00029
28,2065,0.00028
28,2066,0.00028
28,2067,0.00028
28,2068,0.00028
28,2069,0.00028
28,2070,0.00027
28,2071,0.00027
28,2072,0.00027
28,2073,0.00027
28,2074,0.00026
28,2075,0.00026
28,2076,0.00026
28,2077,0.00026
28,2078,0.00026
28,2079,0.00025
28,2080,0.00025
28,2081,0.00025
28,2082,0.00025
28,2083,0.00025
28,2084,0.00024
28,2085,0.00024
28,2086,0.00024
28,2087,0.00024
28,2088,0.00024
28,2089,0.00023
28,2090,0.00023
28,2091,0.00023
28,2092,0.00023
28,2093,0.00023
28,2094,0.00023
28,2095,0.00022
28,2096,0.00022
28,2097,0.00022
28,2098,0.00022
28,2099,0.00022
28,2100,0.00021
29,2022,0.00043
29,2023,0.00042
29,2024,0.00041
29,2025,0.00041
29,2026,0.00041
29,2027,4e-04
29,2028,4e-04
29,2029,4e-04
29,2030,0.00039
29,2031,0.00039
29,2032,0.00039
29,2033,0.00039
29,2034,0.00038
29,2035,0.00038
29,2036,0.00038
29,2037,0.00037
29,2038,0.00037
29,2039,0.00037
29,2040,0.00037
29,2041,0.00036
29,2042,0.00036
29,2043,0.00036
29,2044,0.00035
29,2045,0.00035
29,2046,0.00035
29,2047,0.00035
29,2048,0.00034
29,2049,0.00034
29,2050,0.00034
29,2051,0.00034
29,2052,0.00033
29,2053,0.00033
29,2054,0.00033
29,2055,0.00033
29,2056,0.00032
29,2057,0.00032
29,2058,0.00032
29,2059,0.00032
29,2060,0.00031
29,2061,0.00031
29,2062,0.00031
29,2063,0.00031
29,2064,0.00031
29,2065,3e-04
29,2066,3e-04
29,2067,3e-04
29,2068,3e-04
29,2069,0.00029
29,2070,0.00029
29,2071,0.00029
29,2072,0.00029
29,2073,0.00028
29,2074,0.00028
29,2075,0.00028
29,2076,0.00028
29,2077,0.00028
29,2078,0.00027
29,2079,0.00027
29,2080,0.00027
29,2081,0.00027
29,2082,0.00027
29,2083,0.00026
29,2084,0.00026
