ssp,age,sex,period,assr,CNTR_CODE,cntr_name
1,25--29,Male,2065-2070,1,FR,France
2,50--54,Female,2090-2095,1,FR,France
2,5--9,Male,1990-1995,0.999,FR,France
1,70--74,Male,2035-2040,0.945,FR,France
1,60--64,Female,2070-2075,1,FR,France
2,50--54,Male,1960-1965,0.932,FR,France
1,Newborn,Male,2045-2050,0.999,FR,France
1,95--99,Male,2080-2085,0.53,FR,France
2,20--24,Female,2070-2075,1,FR,France
1,30--34,Female,2050-2055,1,FR,France
1,20--24,Male,2090-2095,1,FR,France
2,55--59,Male,2080-2085,0.994,FR,France
2,0--4,Male,2015-2020,1,FR,France
1,65--69,Male,2060-2065,0.991,FR,France
1,55--59,Female,2095-2100,1,FR,France
2,45--49,Male,1985-1990,0.966,FR,France
1,0--4,Female,2030-2035,1,FR,France
1,100+,Female,2065-2070,0.212,FR,France
2,15--19,Female,2095-2100,1,FR,France
1,35--39,Male,2040-2045,0.997,FR,France
1,25--29,Female,2075-2080,1,FR,France
2,60--64,Female,2065-2070,0.996,FR,France
2,5--9,Female,2000-2005,0.999,FR,France
1,70--74,Female,2045-2050,0.99,FR,France
1,60--64,Male,2085-2090,1,FR,France
2,50--54,Female,1970-1975,0.972,FR,France
1,Newborn,Female,2055-2060,1,FR,France
1,95--99,Female,2090-2095,0.99,FR,France
2,20--24,Male,2085-2090,1,FR,France
1,40--44,Female,2025-2030,0.996,FR,France
1,30--34,Male,2065-2070,1,FR,France
2,55--59,Female,2090-2095,1,FR,France
2,10--14,Male,1990-1995,0.998,FR,France
1,75--79,Male,2035-2040,0.902,FR,France
1,65--69,Female,2070-2075,1,FR,France
2,55--59,Male,1960-1965,0.897,FR,France
1,0--4,Male,2045-2050,1,FR,France
1,100+,Male,2080-2085,0.155,FR,France
2,25--29,Female,2070-2075,1,FR,France
1,35--39,Female,2050-2055,1,FR,France
1,25--29,Male,2090-2095,1,FR,France
2,60--64,Male,2080-2085,0.992,FR,France
2,5--9,Male,2015-2020,1,FR,France
1,70--74,Male,2060-2065,0.987,FR,France
1,60--64,Female,2095-2100,1,FR,France
2,50--54,Male,1985-1990,0.947,FR,France
1,5--9,Female,2030-2035,1,FR,France
1,Newborn,Male,2070-2075,1,FR,France
2,20--24,Female,2095-2100,1,FR,France
1,40--44,Male,2040-2045,0.996,FR,France
1,30--34,Female,2075-2080,1,FR,France
2,65--69,Female,2065-2070,0.995,FR,France
2,10--14,Female,2000-2005,0.999,FR,France
1,75--79,Female,2045-2050,0.978,FR,France
1,65--69,Male,2085-2090,1,FR,France
2,55--59,Female,1970-1975,0.96,FR,France
1,0--4,Female,2055-2060,1,FR,France
1,100+,Female,2090-2095,0.579,FR,France
2,25--29,Male,2085-2090,1,FR,France
1,45--49,Female,2025-2030,0.994,FR,France
1,35--39,Male,2065-2070,0.999,FR,France
2,60--64,Female,2090-2095,1,FR,France
2,15--19,Male,1990-1995,0.994,FR,France
1,80--84,Male,2035-2040,0.806,FR,France
1,70--74,Female,2070-2075,1,FR,France
2,60--64,Male,1960-1965,0.851,FR,France
1,5--9,Male,2045-2050,1,FR,France
1,Newborn,Female,2080-2085,1,FR,France
2,30--34,Female,2070-2075,1,FR,France
1,40--44,Female,2050-2055,0.999,FR,France
1,30--34,Male,2090-2095,1,FR,France
3,35--39,Female,2040-2045,0.997,FR,France
2,10--14,Male,2015-2020,0.999,FR,France
1,75--79,Male,2060-2065,0.974,FR,France
1,65--69,Female,2095-2100,1,FR,France
2,55--59,Male,1985-1990,0.923,FR,France
1,10--14,Female,2030-2035,1,FR,France
1,0--4,Male,2070-2075,1,FR,France
2,25--29,Female,2095-2100,1,FR,France
2,90--94,Female,1990-1995,0.28,FR,France
1,35--39,Female,2075-2080,1,FR,France
2,70--74,Female,2065-2070,0.992,FR,France
2,15--19,Female,2000-2005,0.999,FR,France
2,5--9,Male,2040-2045,1,FR,France
2,Newborn,Female,2075-2080,1,FR,France
2,60--64,Female,1970-1975,0.937,FR,France
2,50--54,Male,2010-2015,0.966,FR,France
2,40--44,Female,2045-2050,0.998,FR,France
2,30--34,Male,2085-2090,0.999,FR,France
2,85--89,Female,2015-2020,0.58,FR,France
1,40--44,Male,2065-2070,0.999,FR,France
2,65--69,Female,2090-2095,1,FR,France
2,20--24,Male,1990-1995,0.992,FR,France
2,10--14,Female,2025-2030,1,FR,France
3,80--84,Male,2025-2030,0.681,FR,France
2,55--59,Female,1995-2000,0.976,FR,France
1,10--14,Male,2045-2050,1,FR,France
1,0--4,Female,2080-2085,1,FR,France
3,25--29,Male,1960-1965,0.991,FR,France
2,90--94,Male,2005-2010,0.24,FR,France
2,80--84,Female,2040-2045,0.871,FR,France
3,40--44,Female,2040-2045,0.995,FR,France
2,15--19,Male,2015-2020,0.998,FR,France
2,5--9,Female,2050-2055,1,FR,France
2,Newborn,Male,2090-2095,1,FR,France
2,60--64,Male,1985-1990,0.892,FR,France
2,50--54,Female,2020-2025,0.987,FR,France
2,40--44,Male,2060-2065,0.996,FR,France
2,30--34,Female,2095-2100,1,FR,France
2,95--99,Female,1990-1995,0.123,FR,France
1,40--44,Female,2075-2080,1,FR,France
2,75--79,Female,2065-2070,0.982,FR,France
2,20--24,Female,2000-2005,0.998,FR,France
2,10--14,Male,2040-2045,1,FR,France
2,0--4,Female,2075-2080,1,FR,France
2,65--69,Female,1970-1975,0.894,FR,France
2,55--59,Male,2010-2015,0.953,FR,France
2,45--49,Female,2045-2050,0.996,FR,France
2,35--39,Male,2085-2090,0.999,FR,France
2,90--94,Female,2015-2020,0.363,FR,France
1,45--49,Male,2065-2070,0.998,FR,France
2,70--74,Female,2090-2095,0.999,FR,France
2,25--29,Male,1990-1995,0.991,FR,France
2,15--19,Female,2025-2030,0.999,FR,France
3,85--89,Male,2025-2030,0.49,FR,France
2,60--64,Female,1995-2000,0.964,FR,France
1,15--19,Male,2045-2050,0.999,FR,France
1,5--9,Female,2080-2085,1,FR,France
3,30--34,Male,1960-1965,0.988,FR,France
2,95--99,Male,2005-2010,0.105,FR,France
2,85--89,Female,2040-2045,0.718,FR,France
3,45--49,Female,2040-2045,0.993,FR,France
2,20--24,Male,2015-2020,0.997,FR,France
2,10--14,Female,2050-2055,1,FR,France
2,0--4,Male,2090-2095,1,FR,France
2,65--69,Male,1985-1990,0.844,FR,France
2,55--59,Female,2020-2025,0.982,FR,France
2,45--49,Male,2060-2065,0.993,FR,France
2,35--39,Female,2095-2100,1,FR,France
2,100+,Female,1990-1995,0,FR,France
1,45--49,Female,2075-2080,1,FR,France
2,80--84,Female,2065-2070,0.951,FR,France
2,25--29,Female,2000-2005,0.998,FR,France
2,15--19,Male,2040-2045,0.999,FR,France
2,5--9,Female,2075-2080,1,FR,France
2,70--74,Female,1970-1975,0.817,FR,France
2,60--64,Male,2010-2015,0.938,FR,France
2,50--54,Female,2045-2050,0.994,FR,France
2,40--44,Male,2085-2090,0.999,FR,France
2,95--99,Female,2015-2020,0.185,FR,France
1,50--54,Male,2065-2070,0.998,FR,France
2,75--79,Female,2090-2095,0.999,FR,France
2,30--34,Male,1990-1995,0.989,FR,France
2,20--24,Female,2025-2030,0.999,FR,France
3,90--94,Male,2025-2030,0.294,FR,France
2,65--69,Female,1995-2000,0.942,FR,France
1,20--24,Male,2045-2050,0.999,FR,France
1,10--14,Female,2080-2085,1,FR,France
3,35--39,Male,1960-1965,0.982,FR,France
2,100+,Male,2005-2010,0,FR,France
2,90--94,Female,2040-2045,0.491,FR,France
3,50--54,Female,2040-2045,0.989,FR,France
2,25--29,Male,2015-2020,0.996,FR,France
2,15--19,Female,2050-2055,1,FR,France
2,5--9,Male,2090-2095,1,FR,France
2,70--74,Male,1985-1990,0.764,FR,France
2,60--64,Female,2020-2025,0.976,FR,France
2,50--54,Male,2060-2065,0.99,FR,France
2,40--44,Female,2095-2100,1,FR,France
2,Newborn,Male,1995-2000,0.994,FR,France
1,50--54,Female,2075-2080,1,FR,France
2,85--89,Female,2065-2070,0.857,FR,France
2,30--34,Female,2000-2005,0.997,FR,France
2,20--24,Male,2040-2045,0.998,FR,France
2,10--14,Female,2075-2080,1,FR,France
2,75--79,Female,1970-1975,0.695,FR,France
2,65--69,Male,2010-2015,0.913,FR,France
2,55--59,Female,2045-2050,0.992,FR,France
2,45--49,Male,2085-2090,0.998,FR,France
2,100+,Female,2015-2020,0.082,FR,France
1,55--59,Male,2065-2070,0.997,FR,France
2,80--84,Female,2090-2095,0.993,FR,France
2,35--39,Male,1990-1995,0.985,FR,France
2,25--29,Female,2025-2030,0.999,FR,France
3,95--99,Male,2025-2030,0.136,FR,France
2,70--74,Female,1995-2000,0.9,FR,France
1,25--29,Male,2045-2050,0.999,FR,France
1,15--19,Female,2080-2085,1,FR,France
3,40--44,Male,1960-1965,0.973,FR,France
2,Newborn,Female,2005-2010,0.996,FR,France
2,95--99,Female,2040-2045,0.264,FR,France
3,55--59,Female,2040-2045,0.985,FR,France
2,30--34,Male,2015-2020,0.995,FR,France
2,20--24,Female,2050-2055,1,FR,France
2,10--14,Male,2090-2095,1,FR,France
2,75--79,Male,1985-1990,0.642,FR,France
2,65--69,Female,2020-2025,0.966,FR,France
2,55--59,Male,2060-2065,0.986,FR,France
2,45--49,Female,2095-2100,1,FR,France
2,0--4,Male,1995-2000,0.999,FR,France
1,55--59,Female,2075-2080,1,FR,France
2,90--94,Female,2065-2070,0.663,FR,France
2,35--39,Female,2000-2005,0.995,FR,France
2,25--29,Male,2040-2045,0.998,FR,France
2,15--19,Female,2075-2080,1,FR,France
2,80--84,Female,1970-1975,0.529,FR,France
2,70--74,Male,2010-2015,0.865,FR,France
2,60--64,Female,2045-2050,0.99,FR,France
2,50--54,Male,2085-2090,0.996,FR,France
2,Newborn,Male,2020-2025,0.997,FR,France
1,60--64,Male,2065-2070,0.996,FR,France
2,85--89,Female,2090-2095,0.967,FR,France
2,40--44,Male,1990-1995,0.979,FR,France
2,30--34,Female,2025-2030,0.998,FR,France
3,100+,Male,2025-2030,0.053,FR,France
2,75--79,Female,1995-2000,0.819,FR,France
1,30--34,Male,2045-2050,0.999,FR,France
1,20--24,Female,2080-2085,1,FR,France
3,45--49,Male,1960-1965,0.957,FR,France
2,0--4,Female,2005-2010,0.999,FR,France
2,100+,Female,2040-2045,0.103,FR,France
3,60--64,Female,2040-2045,0.98,FR,France
2,35--39,Male,2015-2020,0.993,FR,France
2,25--29,Female,2050-2055,1,FR,France
2,15--19,Male,2090-2095,1,FR,France
2,80--84,Male,1985-1990,0.485,FR,France
2,70--74,Female,2020-2025,0.945,FR,France
2,60--64,Male,2060-2065,0.982,FR,France
2,50--54,Female,2095-2100,1,FR,France
2,5--9,Male,1995-2000,0.999,FR,France
1,60--64,Female,2075-2080,1,FR,France
2,95--99,Female,2065-2070,0.379,FR,France
2,40--44,Female,2000-2005,0.992,FR,France
2,30--34,Male,2040-2045,0.997,FR,France
2,20--24,Female,2075-2080,1,FR,France
2,85--89,Female,1970-1975,0.352,FR,France
2,75--79,Male,2010-2015,0.78,FR,France
2,65--69,Female,2045-2050,0.986,FR,France
2,55--59,Male,2085-2090,0.995,FR,France
2,0--4,Male,2020-2025,1,FR,France
1,65--69,Male,2065-2070,0.994,FR,France
2,90--94,Female,2090-2095,0.873,FR,France
2,45--49,Male,1990-1995,0.97,FR,France
2,35--39,Female,2025-2030,0.997,FR,France
3,Newborn,Female,2025-2030,0.997,FR,France
2,80--84,Female,1995-2000,0.676,FR,France
1,35--39,Male,2045-2050,0.998,FR,France
1,25--29,Female,2080-2085,1,FR,France
3,50--54,Male,1960-1965,0.932,FR,France
2,5--9,Female,2005-2010,1,FR,France
2,Newborn,Male,2045-2050,0.999,FR,France
3,65--69,Female,2040-2045,0.972,FR,France
2,40--44,Male,2015-2020,0.988,FR,France
2,30--34,Female,2050-2055,0.999,FR,France
2,20--24,Male,2090-2095,1,FR,France
2,85--89,Male,1985-1990,0.319,FR,France
2,75--79,Female,2020-2025,0.895,FR,France
2,65--69,Male,2060-2065,0.976,FR,France
2,55--59,Female,2095-2100,1,FR,France
2,10--14,Male,1995-2000,0.998,FR,France
1,65--69,Female,2075-2080,1,FR,France
2,100+,Female,2065-2070,0.134,FR,France
2,45--49,Female,2000-2005,0.988,FR,France
2,35--39,Male,2040-2045,0.996,FR,France
2,25--29,Female,2075-2080,1,FR,France
2,90--94,Female,1970-1975,0.203,FR,France
2,80--84,Male,2010-2015,0.64,FR,France
2,70--74,Female,2045-2050,0.977,FR,France
2,60--64,Male,2085-2090,0.994,FR,France
2,5--9,Male,2020-2025,1,FR,France
1,70--74,Male,2065-2070,0.992,FR,France
2,95--99,Female,2090-2095,0.589,FR,France
2,50--54,Male,1990-1995,0.955,FR,France
2,40--44,Female,2025-2030,0.995,FR,France
3,0--4,Female,2025-2030,1,FR,France
2,85--89,Female,1995-2000,0.483,FR,France
1,40--44,Male,2045-2050,0.996,FR,France
1,30--34,Female,2080-2085,1,FR,France
3,55--59,Male,1960-1965,0.897,FR,France
2,10--14,Female,2005-2010,0.999,FR,France
2,0--4,Male,2045-2050,1,FR,France
3,70--74,Female,2040-2045,0.954,FR,France
2,45--49,Male,2015-2020,0.98,FR,France
2,35--39,Female,2050-2055,0.999,FR,France
2,25--29,Male,2090-2095,1,FR,France
2,90--94,Male,1985-1990,0.185,FR,France
2,80--84,Female,2020-2025,0.788,FR,France
2,70--74,Male,2060-2065,0.965,FR,France
2,60--64,Female,2095-2100,1,FR,France
2,15--19,Male,1995-2000,0.995,FR,France
1,70--74,Female,2075-2080,1,FR,France
2,Newborn,Male,2070-2075,0.999,FR,France
2,50--54,Female,2000-2005,0.983,FR,France
2,40--44,Male,2040-2045,0.993,FR,France
2,30--34,Female,2075-2080,1,FR,France
2,95--99,Female,1970-1975,0.101,FR,France
2,85--89,Male,2010-2015,0.45,FR,France
2,75--79,Female,2045-2050,0.954,FR,France
2,65--69,Male,2085-2090,0.992,FR,France
2,10--14,Male,2020-2025,0.999,FR,France
1,75--79,Male,2065-2070,0.983,FR,France
2,100+,Female,2090-2095,0.206,FR,France
2,55--59,Male,1990-1995,0.932,FR,France
2,45--49,Female,2025-2030,0.992,FR,France
3,5--9,Female,2025-2030,1,FR,France
2,90--94,Female,1995-2000,0.291,FR,France
1,45--49,Male,2045-2050,0.994,FR,France
1,35--39,Female,2080-2085,1,FR,France
3,60--64,Male,1960-1965,0.851,FR,France
2,15--19,Female,2005-2010,0.999,FR,France
2,5--9,Male,2045-2050,1,FR,France
3,75--79,Female,2040-2045,0.912,FR,France
2,50--54,Male,2015-2020,0.968,FR,France
2,40--44,Female,2050-2055,0.998,FR,France
2,30--34,Male,2090-2095,1,FR,France
2,95--99,Male,1985-1990,0.102,FR,France
2,85--89,Female,2020-2025,0.607,FR,France
2,75--79,Male,2060-2065,0.934,FR,France
2,65--69,Female,2095-2100,1,FR,France
2,20--24,Male,1995-2000,0.994,FR,France
1,75--79,Female,2075-2080,1,FR,France
2,0--4,Male,2070-2075,1,FR,France
2,55--59,Female,2000-2005,0.977,FR,France
2,45--49,Male,2040-2045,0.988,FR,France
2,35--39,Female,2075-2080,1,FR,France
2,100+,Female,1970-1975,0,FR,France
2,90--94,Male,2010-2015,0.266,FR,France
2,80--84,Female,2045-2050,0.889,FR,France
2,70--74,Male,2085-2090,0.989,FR,France
2,15--19,Male,2020-2025,0.998,FR,France
1,80--84,Male,2065-2070,0.953,FR,France
2,Newborn,Male,2095-2100,1,FR,France
2,60--64,Male,1990-1995,0.902,FR,France
2,50--54,Female,2025-2030,0.989,FR,France
3,10--14,Female,2025-2030,1,FR,France
2,95--99,Female,1995-2000,0.127,FR,France
1,50--54,Male,2045-2050,0.99,FR,France
1,40--44,Female,2080-2085,1,FR,France
3,65--69,Male,1960-1965,0.786,FR,France
2,20--24,Female,2005-2010,0.999,FR,France
2,10--14,Male,2045-2050,1,FR,France
3,80--84,Female,2040-2045,0.815,FR,France
2,55--59,Male,2015-2020,0.957,FR,France
2,45--49,Female,2050-2055,0.997,FR,France
2,35--39,Male,2090-2095,0.999,FR,France
2,100+,Male,1985-1990,0,FR,France
2,90--94,Female,2020-2025,0.386,FR,France
2,80--84,Male,2060-2065,0.859,FR,France
2,70--74,Female,2095-2100,1,FR,France
2,25--29,Male,1995-2000,0.993,FR,France
1,80--84,Female,2075-2080,1,FR,France
2,5--9,Male,2070-2075,1,FR,France
2,60--64,Female,2000-2005,0.967,FR,France
2,50--54,Male,2040-2045,0.981,FR,France
2,40--44,Female,2075-2080,1,FR,France
2,Newborn,Male,1975-1980,0.986,FR,France
2,95--99,Male,2010-2015,0.114,FR,France
2,85--89,Female,2045-2050,0.746,FR,France
2,75--79,Male,2085-2090,0.977,FR,France
2,20--24,Male,2020-2025,0.997,FR,France
1,85--89,Male,2065-2070,0.862,FR,France
2,0--4,Male,2095-2100,1,FR,France
2,65--69,Male,1990-1995,0.86,FR,France
2,55--59,Female,2025-2030,0.985,FR,France
3,15--19,Female,2025-2030,0.999,FR,France
2,100+,Female,1995-2000,0,FR,France
1,55--59,Male,2045-2050,0.987,FR,France
1,45--49,Female,2080-2085,1,FR,France
3,70--74,Male,1960-1965,0.687,FR,France
2,25--29,Female,2005-2010,0.998,FR,France
2,15--19,Male,2045-2050,0.999,FR,France
3,85--89,Female,2040-2045,0.641,FR,France
2,60--64,Male,2015-2020,0.944,FR,France
2,50--54,Female,2050-2055,0.995,FR,France
2,40--44,Male,2090-2095,0.999,FR,France
2,Newborn,Female,1985-1990,0.993,FR,France
2,95--99,Female,2020-2025,0.198,FR,France
2,85--89,Male,2060-2065,0.701,FR,France
2,75--79,Female,2095-2100,0.999,FR,France
2,30--34,Male,1995-2000,0.991,FR,France
1,85--89,Female,2075-2080,0.996,FR,France
2,10--14,Male,2070-2075,1,FR,France
2,65--69,Female,2000-2005,0.948,FR,France
2,55--59,Male,2040-2045,0.975,FR,France
2,45--49,Female,2075-2080,0.999,FR,France
2,0--4,Male,1975-1980,0.997,FR,France
2,100+,Male,2010-2015,0,FR,France
2,90--94,Female,2045-2050,0.52,FR,France
2,80--84,Male,2085-2090,0.939,FR,France
2,25--29,Male,2020-2025,0.997,FR,France
1,90--94,Male,2065-2070,0.665,FR,France
2,5--9,Male,2095-2100,1,FR,France
2,70--74,Male,1990-1995,0.791,FR,France
2,60--64,Female,2025-2030,0.979,FR,France
3,20--24,Female,2025-2030,0.999,FR,France
2,Newborn,Male,2000-2005,0.995,FR,France
1,60--64,Male,2045-2050,0.982,FR,France
1,50--54,Female,2080-2085,1,FR,France
3,75--79,Male,1960-1965,0.551,FR,France
2,30--34,Female,2005-2010,0.997,FR,France
2,20--24,Male,2045-2050,0.998,FR,France
3,90--94,Female,2040-2045,0.416,FR,France
2,65--69,Male,2015-2020,0.922,FR,France
2,55--59,Female,2050-2055,0.994,FR,France
2,45--49,Male,2090-2095,0.998,FR,France
2,0--4,Female,1985-1990,0.999,FR,France
2,100+,Female,2020-2025,0.082,FR,France
2,90--94,Male,2060-2065,0.477,FR,France
2,80--84,Female,2095-2100,0.997,FR,France
2,35--39,Male,1995-2000,0.987,FR,France
1,90--94,Female,2075-2080,0.972,FR,France
2,15--19,Male,2070-2075,1,FR,France
2,70--74,Female,2000-2005,0.91,FR,France
2,60--64,Male,2040-2045,0.968,FR,France
2,50--54,Female,2075-2080,0.999,FR,France
2,5--9,Male,1975-1980,0.998,FR,France
2,Newborn,Female,2010-2015,0.997,FR,France
2,95--99,Female,2045-2050,0.284,FR,France
2,85--89,Male,2085-2090,0.835,FR,France
2,30--34,Male,2020-2025,0.996,FR,France
1,95--99,Male,2065-2070,0.347,FR,France
2,10--14,Male,2095-2100,1,FR,France
2,75--79,Male,1990-1995,0.679,FR,France
2,65--69,Female,2025-2030,0.971,FR,France
3,25--29,Female,2025-2030,0.999,FR,France
2,0--4,Male,2000-2005,0.999,FR,France
1,65--69,Male,2045-2050,0.977,FR,France
1,55--59,Female,2080-2085,1,FR,France
3,80--84,Male,1960-1965,0.391,FR,France
2,35--39,Female,2005-2010,0.995,FR,France
2,25--29,Male,2045-2050,0.998,FR,France
3,95--99,Female,2040-2045,0.216,FR,France
2,70--74,Male,2015-2020,0.88,FR,France
2,60--64,Female,2050-2055,0.992,FR,France
2,50--54,Male,2090-2095,0.997,FR,France
2,5--9,Female,1985-1990,0.999,FR,France
2,Newborn,Male,2025-2030,0.998,FR,France
2,95--99,Male,2060-2065,0.217,FR,France
2,85--89,Female,2095-2100,0.981,FR,France
2,40--44,Male,1995-2000,0.98,FR,France
1,95--99,Female,2075-2080,0.79,FR,France
2,20--24,Male,2070-2075,0.999,FR,France
2,75--79,Female,2000-2005,0.836,FR,France
2,65--69,Male,2040-2045,0.957,FR,France
2,55--59,Female,2075-2080,0.999,FR,France
2,10--14,Male,1975-1980,0.996,FR,France
2,0--4,Female,2010-2015,0.999,FR,France
2,100+,Female,2045-2050,0.11,FR,France
2,90--94,Male,2085-2090,0.627,FR,France
2,35--39,Male,2020-2025,0.994,FR,France
1,100+,Male,2065-2070,0.098,FR,France
2,15--19,Male,2095-2100,1,FR,France
2,80--84,Male,1990-1995,0.522,FR,France
2,70--74,Female,2025-2030,0.953,FR,France
3,30--34,Female,2025-2030,0.998,FR,France
2,5--9,Male,2000-2005,0.999,FR,France
1,70--74,Male,2045-2050,0.965,FR,France
1,60--64,Female,2080-2085,1,FR,France
3,85--89,Male,1960-1965,0.243,FR,France
2,40--44,Female,2005-2010,0.993,FR,France
2,30--34,Male,2045-2050,0.998,FR,France
3,100+,Female,2040-2045,0.088,FR,France
2,75--79,Male,2015-2020,0.801,FR,France
2,65--69,Female,2050-2055,0.989,FR,France
2,55--59,Male,2090-2095,0.996,FR,France
2,10--14,Female,1985-1990,0.999,FR,France
2,0--4,Male,2025-2030,1,FR,France
2,100+,Male,2060-2065,0.056,FR,France
2,90--94,Female,2095-2100,0.912,FR,France
2,45--49,Male,1995-2000,0.971,FR,France
1,100+,Female,2075-2080,0.318,FR,France
2,25--29,Male,2070-2075,0.999,FR,France
2,80--84,Female,2000-2005,0.698,FR,France
2,70--74,Male,2040-2045,0.935,FR,France
2,60--64,Female,2075-2080,0.998,FR,France
2,15--19,Male,1975-1980,0.992,FR,France
2,5--9,Female,2010-2015,1,FR,France
2,Newborn,Male,2050-2055,0.999,FR,France
2,95--99,Male,2085-2090,0.32,FR,France
2,40--44,Male,2020-2025,0.989,FR,France
1,Newborn,Female,2065-2070,1,FR,France
2,20--24,Male,2095-2100,1,FR,France
2,85--89,Male,1990-1995,0.348,FR,France
2,75--79,Female,2025-2030,0.909,FR,France
3,35--39,Female,2025-2030,0.997,FR,France
2,10--14,Male,2000-2005,0.998,FR,France
1,75--79,Male,2045-2050,0.936,FR,France
1,65--69,Female,2080-2085,1,FR,France
3,90--94,Male,1960-1965,0.133,FR,France
2,45--49,Female,2005-2010,0.988,FR,France
2,35--39,Male,2045-2050,0.997,FR,France
3,Newborn,Male,2045-2050,0.998,FR,France
2,80--84,Male,2015-2020,0.666,FR,France
2,70--74,Female,2050-2055,0.982,FR,France
2,60--64,Male,2090-2095,0.995,FR,France
2,15--19,Female,1985-1990,0.998,FR,France
2,5--9,Male,2025-2030,1,FR,France
2,Newborn,Female,2060-2065,1,FR,France
2,95--99,Female,2095-2100,0.65,FR,France
2,50--54,Male,1995-2000,0.959,FR,France
1,Newborn,Male,2080-2085,1,FR,France
2,30--34,Male,2070-2075,0.999,FR,France
2,85--89,Female,2000-2005,0.503,FR,France
2,75--79,Male,2040-2045,0.885,FR,France
2,65--69,Female,2075-2080,0.998,FR,France
2,20--24,Male,1975-1980,0.992,FR,France
2,10--14,Female,2010-2015,0.999,FR,France
2,0--4,Male,2050-2055,1,FR,France
2,100+,Male,2085-2090,0.09,FR,France
2,45--49,Male,2020-2025,0.982,FR,France
1,0--4,Female,2065-2070,1,FR,France
2,25--29,Male,2095-2100,1,FR,France
2,90--94,Male,1990-1995,0.202,FR,France
2,80--84,Female,2025-2030,0.81,FR,France
3,40--44,Female,2025-2030,0.994,FR,France
2,15--19,Male,2000-2005,0.996,FR,France
1,80--84,Male,2045-2050,0.863,FR,France
1,70--74,Female,2080-2085,1,FR,France
3,95--99,Male,1960-1965,0.067,FR,France
2,50--54,Female,2005-2010,0.984,FR,France
2,40--44,Male,2045-2050,0.994,FR,France
3,0--4,Male,2045-2050,1,FR,France
2,85--89,Male,2015-2020,0.475,FR,France
2,75--79,Female,2050-2055,0.963,FR,France
2,65--69,Male,2090-2095,0.994,FR,France
2,20--24,Female,1985-1990,0.997,FR,France
2,10--14,Male,2025-2030,0.999,FR,France
2,0--4,Female,2060-2065,1,FR,France
2,100+,Female,2095-2100,0.233,FR,France
2,55--59,Male,1995-2000,0.94,FR,France
1,0--4,Male,2080-2085,1,FR,France
2,35--39,Male,2070-2075,0.998,FR,France
2,90--94,Female,2000-2005,0.305,FR,France
2,80--84,Male,2040-2045,0.78,FR,France
2,70--74,Female,2075-2080,0.996,FR,France
2,25--29,Male,1975-1980,0.992,FR,France
2,15--19,Female,2010-2015,0.999,FR,France
2,5--9,Male,2050-2055,1,FR,France
2,Newborn,Female,2085-2090,1,FR,France
2,50--54,Male,2020-2025,0.971,FR,France
1,5--9,Female,2065-2070,1,FR,France
2,30--34,Male,2095-2100,1,FR,France
2,95--99,Male,1990-1995,0.104,FR,France
2,85--89,Female,2025-2030,0.635,FR,France
3,45--49,Female,2025-2030,0.991,FR,France
2,20--24,Male,2000-2005,0.995,FR,France
1,85--89,Male,2045-2050,0.711,FR,France
1,75--79,Female,2080-2085,1,FR,France
3,100+,Male,1960-1965,0,FR,France
2,55--59,Female,2005-2010,0.978,FR,France
2,45--49,Male,2045-2050,0.99,FR,France
3,5--9,Male,2045-2050,1,FR,France
2,90--94,Male,2015-2020,0.283,FR,France
2,80--84,Female,2050-2055,0.906,FR,France
2,70--74,Male,2090-2095,0.992,FR,France
2,25--29,Female,1985-1990,0.997,FR,France
2,15--19,Male,2025-2030,0.998,FR,France
2,5--9,Female,2060-2065,1,FR,France
3,Newborn,Male,1950-1955,0.946,FR,France
2,60--64,Male,1995-2000,0.909,FR,France
1,5--9,Male,2080-2085,1,FR,France
2,40--44,Male,2070-2075,0.997,FR,France
2,95--99,Female,2000-2005,0.132,FR,France
2,85--89,Male,2040-2045,0.598,FR,France
2,75--79,Female,2075-2080,0.992,FR,France
2,30--34,Male,1975-1980,0.99,FR,France
2,20--24,Female,2010-2015,0.999,FR,France
2,10--14,Male,2050-2055,1,FR,France
2,0--4,Female,2085-2090,1,FR,France
2,55--59,Male,2020-2025,0.961,FR,France
1,10--14,Female,2065-2070,1,FR,France
2,35--39,Male,2095-2100,1,FR,France
2,100+,Male,1990-1995,0,FR,France
2,90--94,Female,2025-2030,0.41,FR,France
3,50--54,Female,2025-2030,0.986,FR,France
2,25--29,Male,2000-2005,0.994,FR,France
1,90--94,Male,2045-2050,0.477,FR,France
1,80--84,Female,2080-2085,1,FR,France
3,Newborn,Female,1960-1965,0.977,FR,France
2,60--64,Female,2005-2010,0.97,FR,France
2,50--54,Male,2045-2050,0.984,FR,France
3,10--14,Male,2045-2050,0.999,FR,France
2,95--99,Male,2015-2020,0.131,FR,France
2,85--89,Female,2050-2055,0.773,FR,France
2,75--79,Male,2090-2095,0.983,FR,France
2,30--34,Female,1985-1990,0.996,FR,France
2,20--24,Male,2025-2030,0.997,FR,France
2,10--14,Female,2060-2065,1,FR,France
3,0--4,Male,1950-1955,0.992,FR,France
2,65--69,Male,1995-2000,0.867,FR,France
1,10--14,Male,2080-2085,1,FR,France
2,45--49,Male,2070-2075,0.996,FR,France
2,100+,Female,2000-2005,0,FR,France
2,90--94,Male,2040-2045,0.381,FR,France
2,80--84,Female,2075-2080,0.973,FR,France
