ssp,age,sex,period,assr,CNTR_CODE,cntr_name
3,90--94,Female,2060-2065,0.374,AT,Austria
2,70--74,Male,2010-2015,0.849,AT,Austria
2,80--84,Female,1970-1975,0.46,AT,Austria
3,15--19,Female,2070-2075,1,AT,Austria
3,25--29,Male,2035-2040,0.998,AT,Austria
3,35--39,Female,1995-2000,0.995,AT,Austria
1,0--4,Female,2010-2015,1,AT,Austria
3,45--49,Male,1960-1965,0.963,AT,Austria
2,55--59,Female,2070-2075,0.999,AT,Austria
2,65--69,Male,2035-2040,0.946,AT,Austria
1,60--64,Male,2065-2070,0.997,AT,Austria
3,10--14,Female,2095-2100,1,AT,Austria
2,85--89,Male,1960-1965,0.227,AT,Austria
3,20--24,Male,2060-2065,0.998,AT,Austria
3,30--34,Female,2020-2025,0.998,AT,Austria
3,40--44,Male,1985-1990,0.98,AT,Austria
1,5--9,Male,2000-2005,0.999,AT,Austria
2,50--54,Female,2095-2100,1,AT,Austria
2,60--64,Male,2060-2065,0.983,AT,Austria
2,70--74,Female,2020-2025,0.927,AT,Austria
3,90--94,Male,2075-2080,0.341,AT,Austria
2,80--84,Male,1985-1990,0.436,AT,Austria
1,90--94,Female,2095-2100,1,AT,Austria
1,100+,Male,2060-2065,0.065,AT,Austria
3,25--29,Female,2045-2050,0.999,AT,Austria
1,0--4,Male,2025-2030,1,AT,Austria
1,10--14,Female,1985-1990,0.999,AT,Austria
1,20--24,Male,1950-1955,0.99,AT,Austria
2,55--59,Male,2085-2090,0.997,AT,Austria
2,65--69,Female,2045-2050,0.984,AT,Austria
3,95--99,Female,2060-2065,0.172,AT,Austria
2,75--79,Male,2010-2015,0.751,AT,Austria
2,85--89,Female,1970-1975,0.292,AT,Austria
3,20--24,Female,2070-2075,1,AT,Austria
3,30--34,Male,2035-2040,0.997,AT,Austria
3,40--44,Female,1995-2000,0.992,AT,Austria
1,5--9,Female,2010-2015,1,AT,Austria
3,50--54,Male,1960-1965,0.937,AT,Austria
2,60--64,Female,2070-2075,0.998,AT,Austria
2,70--74,Male,2035-2040,0.916,AT,Austria
1,65--69,Male,2065-2070,0.996,AT,Austria
3,15--19,Female,2095-2100,1,AT,Austria
2,90--94,Male,1960-1965,0.122,AT,Austria
3,25--29,Male,2060-2065,0.998,AT,Austria
3,35--39,Female,2020-2025,0.997,AT,Austria
3,45--49,Male,1985-1990,0.969,AT,Austria
1,10--14,Male,2000-2005,0.998,AT,Austria
2,55--59,Female,2095-2100,1,AT,Austria
2,65--69,Male,2060-2065,0.976,AT,Austria
2,75--79,Female,2020-2025,0.855,AT,Austria
3,95--99,Male,2075-2080,0.148,AT,Austria
2,85--89,Male,1985-1990,0.28,AT,Austria
1,95--99,Female,2095-2100,0.996,AT,Austria
1,Newborn,Female,2060-2065,1,AT,Austria
3,30--34,Female,2045-2050,0.999,AT,Austria
1,5--9,Male,2025-2030,1,AT,Austria
1,15--19,Female,1985-1990,0.998,AT,Austria
1,25--29,Male,1950-1955,0.99,AT,Austria
2,60--64,Male,2085-2090,0.995,AT,Austria
2,70--74,Female,2045-2050,0.971,AT,Austria
3,100+,Female,2060-2065,0.066,AT,Austria
2,80--84,Male,2010-2015,0.595,AT,Austria
2,90--94,Female,1970-1975,0.162,AT,Austria
3,25--29,Female,2070-2075,1,AT,Austria
3,35--39,Male,2035-2040,0.995,AT,Austria
3,45--49,Female,1995-2000,0.987,AT,Austria
1,10--14,Female,2010-2015,0.999,AT,Austria
3,55--59,Male,1960-1965,0.895,AT,Austria
2,65--69,Female,2070-2075,0.997,AT,Austria
2,75--79,Male,2035-2040,0.847,AT,Austria
1,70--74,Male,2065-2070,0.993,AT,Austria
