ssp,age,sex,year,pop,CNTR_CODE,cntr_name
1,5--9,Female,1980,248,AT,Austria
2,50--54,Female,1990,240.1,AT,Austria
2,60--64,Female,1965,253.5,AT,Austria
1,70--74,Female,2095,248.2,AT,Austria
3,All,Both,1980,7599.4,AT,Austria
1,80--84,Female,2070,312.3,AT,Austria
1,90--94,Female,2045,124.2,AT,Austria
1,100+,Female,2020,1.1,AT,Austria
2,25--29,Both,2060,464.5,AT,Austria
1,0--4,Both,2000,416.4,AT,Austria
1,10--14,Both,1975,646.9,AT,Austria
1,20--24,Both,1950,493.3,AT,Austria
2,55--59,Both,1985,422.7,AT,Austria
3,100+,Both,1995,0.3,AT,Austria
3,0--4,Male,1970,318.6,AT,Austria
2,10--14,Male,2100,229.2,AT,Austria
1,85--89,Both,2065,488.1,AT,Austria
3,65--69,Male,2085,208.6,AT,Austria
2,30--34,Male,2050,262.5,AT,Austria
3,75--79,Male,2060,231,AT,Austria
3,85--89,Male,2035,83,AT,Austria
3,95--99,Male,2010,2,AT,Austria
2,60--64,Male,1975,170.6,AT,Austria
3,All,Female,1985,3988.4,AT,Austria
3,5--9,Female,1960,238.1,AT,Austria
2,15--19,Female,2090,211.8,AT,Austria
1,90--94,Male,2055,152.5,AT,Austria
2,25--29,Female,2065,225.8,AT,Austria
2,35--39,Female,2040,250.5,AT,Austria
2,45--49,Female,2015,354.6,AT,Austria
1,10--14,Female,1980,305,AT,Austria
2,55--59,Female,1990,204.1,AT,Austria
2,65--69,Female,1965,217.9,AT,Austria
1,75--79,Female,2095,260.9,AT,Austria
3,0--4,Both,1980,430.5,AT,Austria
1,85--89,Female,2070,302.9,AT,Austria
1,95--99,Female,2045,49,AT,Austria
1,All,Both,2025,8858.8,AT,Austria
2,30--34,Both,2060,514,AT,Austria
1,5--9,Both,2000,474.8,AT,Austria
1,15--19,Both,1975,581.4,AT,Austria
1,25--29,Both,1950,519.6,AT,Austria
2,60--64,Both,1985,424.4,AT,Austria
3,All,Male,1995,3849.2,AT,Austria
3,5--9,Male,1970,330.2,AT,Austria
2,15--19,Male,2100,228.9,AT,Austria
1,90--94,Both,2065,427.4,AT,Austria
3,70--74,Male,2085,187.4,AT,Austria
2,35--39,Male,2050,267.8,AT,Austria
3,80--84,Male,2060,175.3,AT,Austria
3,90--94,Male,2035,37.3,AT,Austria
3,100+,Male,2010,0.2,AT,Austria
2,65--69,Male,1975,162.5,AT,Austria
3,0--4,Female,1985,215.5,AT,Austria
3,10--14,Female,1960,247.5,AT,Austria
2,20--24,Female,2090,220,AT,Austria
1,95--99,Male,2055,49.5,AT,Austria
2,30--34,Female,2065,246.4,AT,Austria
2,40--44,Female,2040,269.6,AT,Austria
2,50--54,Female,2015,348.9,AT,Austria
1,15--19,Female,1980,315.9,AT,Austria
2,60--64,Female,1990,217.7,AT,Austria
2,70--74,Female,1965,166,AT,Austria
1,80--84,Female,2095,270,AT,Austria
3,5--9,Both,1980,507.6,AT,Austria
1,90--94,Female,2070,252.3,AT,Austria
1,100+,Female,2045,9.4,AT,Austria
1,0--4,Both,2025,353.9,AT,Austria
2,35--39,Both,2060,545.5,AT,Austria
1,10--14,Both,2000,466.6,AT,Austria
1,20--24,Both,1975,494.8,AT,Austria
1,30--34,Both,1950,350.4,AT,Austria
2,65--69,Both,1985,260.7,AT,Austria
3,0--4,Male,1995,242.3,AT,Austria
3,10--14,Male,1970,295.3,AT,Austria
2,20--24,Male,2100,232.9,AT,Austria
1,95--99,Both,2065,290.8,AT,Austria
3,75--79,Male,2085,170.9,AT,Austria
2,40--44,Male,2050,263.3,AT,Austria
3,85--89,Male,2060,131.9,AT,Austria
3,95--99,Male,2035,7.4,AT,Austria
3,All,Female,2010,4303.6,AT,Austria
2,70--74,Male,1975,128.5,AT,Austria
3,5--9,Female,1985,210,AT,Austria
3,15--19,Female,1960,271.6,AT,Austria
2,25--29,Female,2090,241.8,AT,Austria
1,100+,Male,2055,6.3,AT,Austria
2,35--39,Female,2065,265,AT,Austria
2,45--49,Female,2040,311.3,AT,Austria
2,55--59,Female,2015,303.3,AT,Austria
1,20--24,Female,1980,285.3,AT,Austria
2,65--69,Female,1990,241.3,AT,Austria
2,75--79,Female,1965,115,AT,Austria
1,85--89,Female,2095,261.3,AT,Austria
3,10--14,Both,1980,623.6,AT,Austria
1,95--99,Female,2070,204.5,AT,Austria
1,All,Both,2050,9022.5,AT,Austria
1,5--9,Both,2025,392.6,AT,Austria
2,40--44,Both,2060,554.1,AT,Austria
1,15--19,Both,2000,480.6,AT,Austria
1,25--29,Both,1975,522.3,AT,Austria
1,35--39,Both,1950,497.4,AT,Austria
2,70--74,Both,1985,317.8,AT,Austria
3,5--9,Male,1995,238.6,AT,Austria
3,15--19,Male,1970,246.7,AT,Austria
2,25--29,Male,2100,248.6,AT,Austria
1,100+,Both,2065,80.9,AT,Austria
3,80--84,Male,2085,154.7,AT,Austria
