ssp,age,sex,year,pop,CNTR_CODE,cntr_name
2,10--14,Male,1950,25.9,CY,Cyprus
2,35--39,Male,1980,23.7,CY,Cyprus
3,95--99,Male,2045,0.7,CY,Cyprus
1,60--64,Male,1980,12.1,CY,Cyprus
3,90--94,Male,1965,0.1,CY,Cyprus
3,10--14,Female,2075,34.9,CY,Cyprus
3,20--24,Female,2050,36.4,CY,Cyprus
1,85--89,Male,2010,3,CY,Cyprus
2,20--24,Female,2020,38.5,CY,Cyprus
3,55--59,Female,2055,38.1,CY,Cyprus
3,40--44,Female,2000,32.7,CY,Cyprus
2,55--59,Female,2025,37.9,CY,Cyprus
2,40--44,Female,1970,17.3,CY,Cyprus
1,55--59,Female,1995,19,CY,Cyprus
2,65--69,Female,2000,16.5,CY,Cyprus
2,90--94,Female,2030,4.6,CY,Cyprus
3,10--14,Both,1990,58.9,CY,Cyprus
1,90--94,Female,2000,1.2,CY,Cyprus
2,0--4,Both,1985,64.4,CY,Cyprus
3,60--64,Both,2050,102.3,CY,Cyprus
3,45--49,Both,1995,51.7,CY,Cyprus
2,25--29,Both,2015,105,CY,Cyprus
3,95--99,Both,2055,4.6,CY,Cyprus
1,60--64,Both,1990,28.1,CY,Cyprus
3,All,Male,2030,635.8,CY,Cyprus
2,95--99,Both,2025,1.3,CY,Cyprus
3,20--24,Male,2060,34.9,CY,Cyprus
1,85--89,Both,2020,11.7,CY,Cyprus
2,20--24,Male,2030,35.3,CY,Cyprus
2,5--9,Male,1975,30.6,CY,Cyprus
2,15--19,Male,1950,22.8,CY,Cyprus
2,40--44,Male,1980,19.5,CY,Cyprus
3,100+,Male,2045,0.1,CY,Cyprus
1,65--69,Male,1980,10.3,CY,Cyprus
3,95--99,Male,1965,0,CY,Cyprus
3,15--19,Female,2075,36.3,CY,Cyprus
3,25--29,Female,2050,38.2,CY,Cyprus
1,90--94,Male,2010,0.9,CY,Cyprus
2,25--29,Female,2020,51.2,CY,Cyprus
3,60--64,Female,2055,49.6,CY,Cyprus
3,45--49,Female,2000,29.4,CY,Cyprus
2,60--64,Female,2025,34.1,CY,Cyprus
2,45--49,Female,1970,15.2,CY,Cyprus
1,60--64,Female,1995,16.9,CY,Cyprus
2,70--74,Female,2000,13.9,CY,Cyprus
2,95--99,Female,2030,1.3,CY,Cyprus
3,15--19,Both,1990,57.4,CY,Cyprus
1,95--99,Female,2000,0.2,CY,Cyprus
2,5--9,Both,1985,55.7,CY,Cyprus
3,65--69,Both,2050,88.6,CY,Cyprus
3,50--54,Both,1995,44.4,CY,Cyprus
2,30--34,Both,2015,94.7,CY,Cyprus
3,100+,Both,2055,0.8,CY,Cyprus
1,65--69,Both,1990,24.8,CY,Cyprus
3,0--4,Male,2030,39,CY,Cyprus
2,100+,Both,2025,0.1,CY,Cyprus
3,25--29,Male,2060,35.8,CY,Cyprus
1,90--94,Both,2020,4.4,CY,Cyprus
2,25--29,Male,2030,36.5,CY,Cyprus
2,10--14,Male,1975,31.4,CY,Cyprus
2,20--24,Male,1950,19.9,CY,Cyprus
2,45--49,Male,1980,16.9,CY,Cyprus
3,All,Female,2045,649.6,CY,Cyprus
1,70--74,Male,1980,8.5,CY,Cyprus
3,100+,Male,1965,0,CY,Cyprus
3,20--24,Female,2075,36.9,CY,Cyprus
3,30--34,Female,2050,36.5,CY,Cyprus
1,95--99,Male,2010,0.2,CY,Cyprus
2,30--34,Female,2020,51,CY,Cyprus
3,65--69,Female,2055,48.1,CY,Cyprus
3,50--54,Female,2000,26.3,CY,Cyprus
2,65--69,Female,2025,31.4,CY,Cyprus
2,50--54,Female,1970,13.2,CY,Cyprus
1,65--69,Female,1995,15,CY,Cyprus
2,75--79,Female,2000,10.2,CY,Cyprus
2,100+,Female,2030,0.2,CY,Cyprus
3,20--24,Both,1990,68.5,CY,Cyprus
1,100+,Female,2000,0,CY,Cyprus
2,10--14,Both,1985,55.3,CY,Cyprus
3,70--74,Both,2050,74.9,CY,Cyprus
3,55--59,Both,1995,37.4,CY,Cyprus
2,35--39,Both,2015,86,CY,Cyprus
3,All,Male,2055,661.4,CY,Cyprus
1,70--74,Both,1990,20.1,CY,Cyprus
3,5--9,Male,2030,40.9,CY,Cyprus
2,All,Male,2025,626.3,CY,Cyprus
3,30--34,Male,2060,38.8,CY,Cyprus
1,95--99,Both,2020,0.9,CY,Cyprus
2,30--34,Male,2030,44.4,CY,Cyprus
2,15--19,Male,1975,30.7,CY,Cyprus
2,25--29,Male,1950,17.4,CY,Cyprus
2,50--54,Male,1980,15.4,CY,Cyprus
3,0--4,Female,2045,33.9,CY,Cyprus
1,75--79,Male,1980,5.5,CY,Cyprus
3,All,Female,1965,295.9,CY,Cyprus
3,25--29,Female,2075,35.9,CY,Cyprus
3,35--39,Female,2050,32.4,CY,Cyprus
1,100+,Male,2010,0,CY,Cyprus
2,35--39,Female,2020,48.7,CY,Cyprus
3,70--74,Female,2055,43.8,CY,Cyprus
3,55--59,Female,2000,23,CY,Cyprus
2,70--74,Female,2025,25.8,CY,Cyprus
2,55--59,Female,1970,14.2,CY,Cyprus
1,70--74,Female,1995,12,CY,Cyprus
2,80--84,Female,2000,7.4,CY,Cyprus
2,All,Both,2035,1316.9,CY,Cyprus
3,25--29,Both,1990,63.7,CY,Cyprus
1,All,Both,2005,1032,CY,Cyprus
2,15--19,Both,1985,57.8,CY,Cyprus
3,75--79,Both,2050,59.5,CY,Cyprus
3,60--64,Both,1995,32,CY,Cyprus
2,40--44,Both,2015,77.5,CY,Cyprus
3,0--4,Male,2055,39.5,CY,Cyprus
1,75--79,Both,1990,15,CY,Cyprus
3,10--14,Male,2030,39.1,CY,Cyprus
2,0--4,Male,2025,36.1,CY,Cyprus
3,35--39,Male,2060,40.7,CY,Cyprus
1,100+,Both,2020,0.1,CY,Cyprus
2,35--39,Male,2030,62.1,CY,Cyprus
2,20--24,Male,1975,31.3,CY,Cyprus
2,30--34,Male,1950,15.5,CY,Cyprus
2,55--59,Male,1980,13.4,CY,Cyprus
3,5--9,Female,2045,32.7,CY,Cyprus
1,80--84,Male,1980,3.2,CY,Cyprus
3,0--4,Female,1965,34.1,CY,Cyprus
3,30--34,Female,2075,33.9,CY,Cyprus
3,40--44,Female,2050,31.8,CY,Cyprus
1,All,Female,2010,541.7,CY,Cyprus
2,40--44,Female,2020,44.6,CY,Cyprus
3,75--79,Female,2055,36.7,CY,Cyprus
3,60--64,Female,2000,18.7,CY,Cyprus
2,75--79,Female,2025,21.4,CY,Cyprus
2,60--64,Female,1970,12.2,CY,Cyprus
1,75--79,Female,1995,9.1,CY,Cyprus
2,85--89,Female,2000,4.1,CY,Cyprus
2,0--4,Both,2035,59.9,CY,Cyprus
3,30--34,Both,1990,61.7,CY,Cyprus
1,0--4,Both,2005,61.4,CY,Cyprus
2,20--24,Both,1985,67.8,CY,Cyprus
3,80--84,Both,2050,45.4,CY,Cyprus
3,65--69,Both,1995,27.7,CY,Cyprus
2,45--49,Both,2015,74.3,CY,Cyprus
3,5--9,Male,2055,38.4,CY,Cyprus
1,80--84,Both,1990,10.8,CY,Cyprus
3,15--19,Male,2030,34.5,CY,Cyprus
2,5--9,Male,2025,36.9,CY,Cyprus
3,40--44,Male,2060,38.8,CY,Cyprus
1,All,Male,2020,603.7,CY,Cyprus
2,40--44,Male,2030,58.2,CY,Cyprus
2,25--29,Male,1975,26,CY,Cyprus
2,35--39,Male,1950,14.9,CY,Cyprus
2,60--64,Male,1980,12.1,CY,Cyprus
3,10--14,Female,2045,33.6,CY,Cyprus
1,85--89,Male,1980,1.4,CY,Cyprus
3,5--9,Female,1965,32.3,CY,Cyprus
3,35--39,Female,2075,32.6,CY,Cyprus
3,45--49,Female,2050,31.4,CY,Cyprus
1,0--4,Female,2010,30.9,CY,Cyprus
2,45--49,Female,2020,39.9,CY,Cyprus
3,80--84,Female,2055,27.8,CY,Cyprus
3,65--69,Female,2000,16.5,CY,Cyprus
2,80--84,Female,2025,14.3,CY,Cyprus
2,65--69,Female,1970,11.2,CY,Cyprus
1,80--84,Female,1995,7.4,CY,Cyprus
2,90--94,Female,2000,1.2,CY,Cyprus
2,5--9,Both,2035,66.5,CY,Cyprus
3,35--39,Both,1990,54.5,CY,Cyprus
1,5--9,Both,2005,69.4,CY,Cyprus
2,25--29,Both,1985,61.3,CY,Cyprus
3,85--89,Both,2050,28.4,CY,Cyprus
3,70--74,Both,1995,22.3,CY,Cyprus
2,50--54,Both,2015,70.8,CY,Cyprus
3,10--14,Male,2055,36.3,CY,Cyprus
1,85--89,Both,1990,4.1,CY,Cyprus
3,20--24,Male,2030,34.1,CY,Cyprus
2,10--14,Male,2025,35.1,CY,Cyprus
3,45--49,Male,2060,34.1,CY,Cyprus
1,0--4,Male,2020,34.9,CY,Cyprus
2,45--49,Male,2030,48.4,CY,Cyprus
2,30--34,Male,1975,22.3,CY,Cyprus
2,40--44,Male,1950,13.3,CY,Cyprus
2,65--69,Male,1980,10.3,CY,Cyprus
3,15--19,Female,2045,36.4,CY,Cyprus
1,90--94,Male,1980,0.5,CY,Cyprus
3,10--14,Female,1965,31.8,CY,Cyprus
3,40--44,Female,2075,33.5,CY,Cyprus
3,50--54,Female,2050,38.4,CY,Cyprus
1,5--9,Female,2010,30.9,CY,Cyprus
2,50--54,Female,2020,38.1,CY,Cyprus
3,85--89,Female,2055,19.4,CY,Cyprus
3,70--74,Female,2000,13.9,CY,Cyprus
2,85--89,Female,2025,8.4,CY,Cyprus
2,70--74,Female,1970,9.2,CY,Cyprus
1,80--84,Female,2100,41.1,CY,Cyprus
2,95--99,Female,2000,0.2,CY,Cyprus
2,10--14,Both,2035,72.3,CY,Cyprus
3,40--44,Both,1990,49.2,CY,Cyprus
1,10--14,Both,2005,74.7,CY,Cyprus
2,30--34,Both,1985,55.6,CY,Cyprus
3,75--79,Both,1995,16.4,CY,Cyprus
2,40--44,Both,1960,32,CY,Cyprus
2,55--59,Both,2015,65.3,CY,Cyprus
3,5--9,Male,2080,37.4,CY,Cyprus
1,60--64,Both,2065,78.6,CY,Cyprus
3,25--29,Male,2030,33.9,CY,Cyprus
2,15--19,Male,2025,34.4,CY,Cyprus
1,10--14,Male,2100,21.8,CY,Cyprus
1,5--9,Male,2020,34.7,CY,Cyprus
2,35--39,Male,1975,20,CY,Cyprus
1,20--24,Male,2075,28.5,CY,Cyprus
2,45--49,Male,1950,11.7,CY,Cyprus
2,60--64,Male,2005,20.8,CY,Cyprus
2,85--89,Male,2035,8.4,CY,Cyprus
1,65--69,Male,2055,57.2,CY,Cyprus
3,15--19,Female,1965,29.5,CY,Cyprus
3,45--49,Female,2075,36.2,CY,Cyprus
3,40--44,Female,1995,28.2,CY,Cyprus
1,10--14,Female,2010,34.3,CY,Cyprus
2,40--44,Female,1965,15.8,CY,Cyprus
1,50--54,Female,2095,32.8,CY,Cyprus
3,75--79,Female,2000,10.2,CY,Cyprus
3,100+,Female,2030,0.2,CY,Cyprus
1,60--64,Female,2070,38.9,CY,Cyprus
1,70--74,Female,2045,38.1,CY,Cyprus
2,100+,Female,2000,0,CY,Cyprus
2,15--19,Both,2035,73,CY,Cyprus
3,45--49,Both,1990,43.4,CY,Cyprus
1,15--19,Both,2005,78.1,CY,Cyprus
2,35--39,Both,1985,49.3,CY,Cyprus
3,80--84,Both,1995,13.1,CY,Cyprus
2,45--49,Both,1960,27.5,CY,Cyprus
2,60--64,Both,2015,56.6,CY,Cyprus
3,10--14,Male,2080,36.7,CY,Cyprus
1,65--69,Both,2065,89.9,CY,Cyprus
3,30--34,Male,2030,41,CY,Cyprus
2,20--24,Male,2025,34.6,CY,Cyprus
1,15--19,Male,2100,22.8,CY,Cyprus
1,10--14,Male,2020,34.1,CY,Cyprus
2,40--44,Male,1975,17.4,CY,Cyprus
1,25--29,Male,2075,31.1,CY,Cyprus
2,50--54,Male,1950,10.7,CY,Cyprus
2,65--69,Male,2005,17.5,CY,Cyprus
2,90--94,Male,2035,2.8,CY,Cyprus
1,70--74,Male,2055,46,CY,Cyprus
3,20--24,Female,1965,23.5,CY,Cyprus
3,50--54,Female,2075,37.9,CY,Cyprus
3,45--49,Female,1995,25.9,CY,Cyprus
1,15--19,Female,2010,40.1,CY,Cyprus
2,45--49,Female,1965,13.4,CY,Cyprus
1,55--59,Female,2095,33,CY,Cyprus
3,80--84,Female,2000,7.4,CY,Cyprus
3,All,Both,2035,1284,CY,Cyprus
1,65--69,Female,2070,38,CY,Cyprus
1,75--79,Female,2045,34.5,CY,Cyprus
2,All,Both,2005,1032,CY,Cyprus
2,20--24,Both,2035,70.3,CY,Cyprus
3,50--54,Both,1990,36.6,CY,Cyprus
1,20--24,Both,2005,97.7,CY,Cyprus
2,40--44,Both,1985,42.5,CY,Cyprus
3,85--89,Both,1995,5.5,CY,Cyprus
2,50--54,Both,1960,28.2,CY,Cyprus
2,65--69,Both,2015,49.6,CY,Cyprus
3,15--19,Male,2080,37.3,CY,Cyprus
1,70--74,Both,2065,115.2,CY,Cyprus
3,35--39,Male,2030,59.3,CY,Cyprus
2,25--29,Male,2025,42.7,CY,Cyprus
1,20--24,Male,2100,24,CY,Cyprus
1,15--19,Male,2020,33.8,CY,Cyprus
2,45--49,Male,1975,15.6,CY,Cyprus
1,30--34,Male,2075,32.9,CY,Cyprus
2,55--59,Male,1950,8.5,CY,Cyprus
2,70--74,Male,2005,13,CY,Cyprus
2,95--99,Male,2035,0.6,CY,Cyprus
1,75--79,Male,2055,38,CY,Cyprus
3,25--29,Female,1965,21,CY,Cyprus
3,55--59,Female,2075,36,CY,Cyprus
3,50--54,Female,1995,22.1,CY,Cyprus
1,20--24,Female,2010,43.7,CY,Cyprus
2,50--54,Female,1965,14.6,CY,Cyprus
1,60--64,Female,2095,34.2,CY,Cyprus
3,85--89,Female,2000,4.1,CY,Cyprus
3,0--4,Both,2035,69.5,CY,Cyprus
1,70--74,Female,2070,43.6,CY,Cyprus
1,80--84,Female,2045,28.2,CY,Cyprus
2,0--4,Both,2005,61.4,CY,Cyprus
2,25--29,Both,2035,72.3,CY,Cyprus
3,55--59,Both,1990,32.1,CY,Cyprus
1,25--29,Both,2005,88.6,CY,Cyprus
2,45--49,Both,1985,37.2,CY,Cyprus
3,90--94,Both,1995,1.4,CY,Cyprus
2,55--59,Both,1960,19.3,CY,Cyprus
2,70--74,Both,2015,37.9,CY,Cyprus
3,20--24,Male,2080,38.7,CY,Cyprus
1,75--79,Both,2065,106,CY,Cyprus
3,40--44,Male,2030,56.2,CY,Cyprus
2,30--34,Male,2025,61,CY,Cyprus
1,25--29,Male,2100,25.9,CY,Cyprus
1,20--24,Male,2020,40.8,CY,Cyprus
2,50--54,Male,1975,14.3,CY,Cyprus
1,35--39,Male,2075,34,CY,Cyprus
2,60--64,Male,1950,7.5,CY,Cyprus
2,75--79,Male,2005,9.2,CY,Cyprus
2,100+,Male,2035,0.1,CY,Cyprus
1,80--84,Male,2055,29.9,CY,Cyprus
3,30--34,Female,1965,19.4,CY,Cyprus
3,60--64,Female,2075,31.7,CY,Cyprus
3,55--59,Female,1995,19,CY,Cyprus
1,25--29,Female,2010,47.6,CY,Cyprus
2,55--59,Female,1965,11.5,CY,Cyprus
1,65--69,Female,2095,37,CY,Cyprus
3,90--94,Female,2000,1.2,CY,Cyprus
3,5--9,Both,2035,75.4,CY,Cyprus
1,75--79,Female,2070,53.5,CY,Cyprus
1,85--89,Female,2045,21.7,CY,Cyprus
2,5--9,Both,2005,69.4,CY,Cyprus
2,30--34,Both,2035,73.9,CY,Cyprus
3,60--64,Both,1990,28.1,CY,Cyprus
1,30--34,Both,2005,78.1,CY,Cyprus
2,50--54,Both,1985,33,CY,Cyprus
3,95--99,Both,1995,0.2,CY,Cyprus
2,60--64,Both,1960,20.8,CY,Cyprus
2,75--79,Both,2015,28.6,CY,Cyprus
3,25--29,Male,2080,39.4,CY,Cyprus
1,80--84,Both,2065,87.8,CY,Cyprus
3,45--49,Male,2030,47.1,CY,Cyprus
2,35--39,Male,2025,57.7,CY,Cyprus
1,30--34,Male,2100,27.9,CY,Cyprus
1,25--29,Male,2020,59.6,CY,Cyprus
2,55--59,Male,1975,12.8,CY,Cyprus
1,40--44,Male,2075,36,CY,Cyprus
2,65--69,Male,1950,5.9,CY,Cyprus
2,80--84,Male,2005,6.2,CY,Cyprus
2,All,Female,2035,655.9,CY,Cyprus
1,85--89,Male,2055,22.2,CY,Cyprus
3,35--39,Female,1965,17.6,CY,Cyprus
3,65--69,Female,2075,30.6,CY,Cyprus
3,60--64,Female,1995,16.9,CY,Cyprus
1,30--34,Female,2010,42.1,CY,Cyprus
2,60--64,Female,1965,11.1,CY,Cyprus
1,70--74,Female,2095,39.9,CY,Cyprus
3,95--99,Female,2000,0.2,CY,Cyprus
3,10--14,Both,2035,79.2,CY,Cyprus
1,80--84,Female,2070,50.1,CY,Cyprus
1,90--94,Female,2045,12.7,CY,Cyprus
2,10--14,Both,2005,74.7,CY,Cyprus
2,35--39,Both,2035,88.4,CY,Cyprus
3,65--69,Both,1990,24.8,CY,Cyprus
1,35--39,Both,2005,72.9,CY,Cyprus
2,55--59,Both,1985,29,CY,Cyprus
3,100+,Both,1995,0,CY,Cyprus
2,65--69,Both,1960,11.2,CY,Cyprus
2,80--84,Both,2015,19,CY,Cyprus
3,30--34,Male,2080,38.3,CY,Cyprus
1,85--89,Both,2065,69.1,CY,Cyprus
3,50--54,Male,2030,41.6,CY,Cyprus
2,40--44,Male,2025,48.3,CY,Cyprus
1,35--39,Male,2100,30,CY,Cyprus
1,30--34,Male,2020,56.8,CY,Cyprus
2,60--64,Male,1975,12.1,CY,Cyprus
1,45--49,Male,2075,39.2,CY,Cyprus
2,70--74,Male,1950,4.5,CY,Cyprus
2,85--89,Male,2005,2.8,CY,Cyprus
2,0--4,Female,2035,28.9,CY,Cyprus
1,90--94,Male,2055,13.6,CY,Cyprus
3,40--44,Female,1965,15.8,CY,Cyprus
3,70--74,Female,2075,29.2,CY,Cyprus
3,65--69,Female,1995,15,CY,Cyprus
1,35--39,Female,2010,38.5,CY,Cyprus
2,65--69,Female,1965,6.9,CY,Cyprus
1,75--79,Female,2095,41.1,CY,Cyprus
3,100+,Female,2000,0,CY,Cyprus
3,15--19,Both,2035,75.7,CY,Cyprus
1,85--89,Female,2070,43.7,CY,Cyprus
1,95--99,Female,2045,5.6,CY,Cyprus
2,15--19,Both,2005,78.1,CY,Cyprus
2,40--44,Both,2035,117,CY,Cyprus
3,70--74,Both,1990,20.1,CY,Cyprus
1,40--44,Both,2005,73.6,CY,Cyprus
2,60--64,Both,1985,25.5,CY,Cyprus
3,All,Male,1995,431.8,CY,Cyprus
2,70--74,Both,1960,11.8,CY,Cyprus
2,85--89,Both,2015,9.9,CY,Cyprus
3,35--39,Male,2080,36.1,CY,Cyprus
1,90--94,Both,2065,47.6,CY,Cyprus
3,55--59,Male,2030,36.7,CY,Cyprus
2,45--49,Male,2025,42.6,CY,Cyprus
1,40--44,Male,2100,32.3,CY,Cyprus
1,35--39,Male,2020,47.8,CY,Cyprus
2,65--69,Male,1975,10.2,CY,Cyprus
1,50--54,Male,2075,42.6,CY,Cyprus
2,75--79,Male,1950,2.5,CY,Cyprus
2,90--94,Male,2005,0.8,CY,Cyprus
2,5--9,Female,2035,32.2,CY,Cyprus
1,95--99,Male,2055,5.1,CY,Cyprus
3,45--49,Female,1965,13.4,CY,Cyprus
3,75--79,Female,2075,33.6,CY,Cyprus
3,70--74,Female,1995,12,CY,Cyprus
1,40--44,Female,2010,36.5,CY,Cyprus
2,70--74,Female,1965,6.8,CY,Cyprus
1,80--84,Female,2095,40,CY,Cyprus
3,All,Both,2005,1032,CY,Cyprus
3,20--24,Both,2035,67,CY,Cyprus
1,90--94,Female,2070,34,CY,Cyprus
1,100+,Female,2045,1.4,CY,Cyprus
2,20--24,Both,2005,97.7,CY,Cyprus
2,45--49,Both,2035,111.2,CY,Cyprus
3,75--79,Both,1990,15,CY,Cyprus
1,45--49,Both,2005,69.4,CY,Cyprus
2,65--69,Both,1985,23.3,CY,Cyprus
3,0--4,Male,1995,36.9,CY,Cyprus
2,75--79,Both,1960,6.8,CY,Cyprus
2,90--94,Both,2015,3.2,CY,Cyprus
3,40--44,Male,2080,34.7,CY,Cyprus
1,95--99,Both,2065,27.8,CY,Cyprus
3,60--64,Male,2030,34.1,CY,Cyprus
2,50--54,Male,2025,37.8,CY,Cyprus
1,45--49,Male,2100,34.2,CY,Cyprus
1,40--44,Male,2020,42.4,CY,Cyprus
2,70--74,Male,1975,8.3,CY,Cyprus
1,55--59,Male,2075,43.9,CY,Cyprus
2,80--84,Male,1950,1,CY,Cyprus
2,95--99,Male,2005,0.1,CY,Cyprus
2,10--14,Female,2035,34.9,CY,Cyprus
1,100+,Male,2055,1.1,CY,Cyprus
3,50--54,Female,1965,14.6,CY,Cyprus
3,80--84,Female,2075,39,CY,Cyprus
3,75--79,Female,1995,9.1,CY,Cyprus
1,45--49,Female,2010,35.2,CY,Cyprus
2,75--79,Female,1965,4,CY,Cyprus
1,85--89,Female,2095,38.4,CY,Cyprus
3,0--4,Both,2005,61.4,CY,Cyprus
3,25--29,Both,2035,66,CY,Cyprus
1,95--99,Female,2070,21.9,CY,Cyprus
1,All,Both,2050,1380.3,CY,Cyprus
2,25--29,Both,2005,88.6,CY,Cyprus
2,50--54,Both,2035,97.8,CY,Cyprus
3,80--84,Both,1990,10.8,CY,Cyprus
1,50--54,Both,2005,61,CY,Cyprus
2,70--74,Both,1985,19.7,CY,Cyprus
3,5--9,Male,1995,35.8,CY,Cyprus
2,80--84,Both,1960,2.6,CY,Cyprus
2,95--99,Both,2015,0.7,CY,Cyprus
3,45--49,Male,2080,35.5,CY,Cyprus
1,100+,Both,2065,12.7,CY,Cyprus
3,65--69,Male,2030,32.2,CY,Cyprus
2,55--59,Male,2025,35.5,CY,Cyprus
1,50--54,Male,2100,35.2,CY,Cyprus
1,45--49,Male,2020,38,CY,Cyprus
2,75--79,Male,1975,5.3,CY,Cyprus
1,60--64,Male,2075,42.8,CY,Cyprus
2,85--89,Male,1950,0.4,CY,Cyprus
2,100+,Male,2005,0,CY,Cyprus
2,15--19,Female,2035,35.2,CY,Cyprus
1,All,Female,2055,695.6,CY,Cyprus
3,55--59,Female,1965,11.5,CY,Cyprus
3,85--89,Female,2075,30.4,CY,Cyprus
3,80--84,Female,1995,7.4,CY,Cyprus
1,50--54,Female,2010,34.6,CY,Cyprus
2,80--84,Female,1965,1.8,CY,Cyprus
1,90--94,Female,2095,36.5,CY,Cyprus
3,5--9,Both,2005,69.4,CY,Cyprus
3,30--34,Both,2035,65.5,CY,Cyprus
1,100+,Female,2070,13.8,CY,Cyprus
1,0--4,Both,2050,51.6,CY,Cyprus
2,30--34,Both,2005,78.1,CY,Cyprus
2,55--59,Both,2035,86.7,CY,Cyprus
3,85--89,Both,1990,4.1,CY,Cyprus
1,55--59,Both,2005,53.7,CY,Cyprus
2,75--79,Both,1985,13.4,CY,Cyprus
3,10--14,Male,1995,34.8,CY,Cyprus
2,85--89,Both,1960,1.2,CY,Cyprus
2,100+,Both,2015,0.1,CY,Cyprus
3,50--54,Male,2080,38.3,CY,Cyprus
1,All,Male,2065,714.9,CY,Cyprus
3,70--74,Male,2030,26.4,CY,Cyprus
2,60--64,Male,2025,34.4,CY,Cyprus
1,55--59,Male,2100,35.5,CY,Cyprus
1,50--54,Male,2020,36.1,CY,Cyprus
2,80--84,Male,1975,3.2,CY,Cyprus
1,65--69,Male,2075,41.4,CY,Cyprus
2,90--94,Male,1950,0.1,CY,Cyprus
2,All,Female,2005,510.1,CY,Cyprus
2,20--24,Female,2035,34,CY,Cyprus
1,0--4,Female,2055,24.3,CY,Cyprus
3,60--64,Female,1965,11.1,CY,Cyprus
3,90--94,Female,2075,18.4,CY,Cyprus
3,85--89,Female,1995,3.3,CY,Cyprus
1,55--59,Female,2010,30.4,CY,Cyprus
2,85--89,Female,1965,0.6,CY,Cyprus
1,95--99,Female,2095,38.9,CY,Cyprus
3,10--14,Both,2005,74.7,CY,Cyprus
3,35--39,Both,2035,79.7,CY,Cyprus
1,All,Both,2075,1424.6,CY,Cyprus
1,5--9,Both,2050,53,CY,Cyprus
2,35--39,Both,2005,72.9,CY,Cyprus
2,60--64,Both,2035,75.9,CY,Cyprus
3,90--94,Both,1990,1.1,CY,Cyprus
1,60--64,Both,2005,42.8,CY,Cyprus
2,80--84,Both,1985,8.3,CY,Cyprus
3,15--19,Male,1995,33.1,CY,Cyprus
2,90--94,Both,1960,0.2,CY,Cyprus
2,All,Male,2015,581.4,CY,Cyprus
3,55--59,Male,2080,39.8,CY,Cyprus
1,0--4,Male,2065,23.3,CY,Cyprus
3,75--79,Male,2030,19.6,CY,Cyprus
2,65--69,Male,2025,29.7,CY,Cyprus
1,60--64,Male,2100,35.6,CY,Cyprus
1,55--59,Male,2020,35.4,CY,Cyprus
2,85--89,Male,1975,1.8,CY,Cyprus
1,70--74,Male,2075,40.2,CY,Cyprus
2,95--99,Male,1950,0,CY,Cyprus
2,0--4,Female,2005,29.7,CY,Cyprus
2,25--29,Female,2035,34.9,CY,Cyprus
1,5--9,Female,2055,25.7,CY,Cyprus
3,65--69,Female,1965,6.9,CY,Cyprus
3,95--99,Female,2075,7.5,CY,Cyprus
3,90--94,Female,1995,0.9,CY,Cyprus
1,60--64,Female,2010,26.8,CY,Cyprus
2,90--94,Female,1965,0.2,CY,Cyprus
1,100+,Female,2095,66.4,CY,Cyprus
3,15--19,Both,2005,78.1,CY,Cyprus
3,40--44,Both,2035,110,CY,Cyprus
1,0--4,Both,2075,42.6,CY,Cyprus
1,10--14,Both,2050,53.7,CY,Cyprus
2,40--44,Both,2005,73.6,CY,Cyprus
2,65--69,Both,2035,69.9,CY,Cyprus
3,95--99,Both,1990,0.2,CY,Cyprus
1,65--69,Both,2005,36.6,CY,Cyprus
2,85--89,Both,1985,3.4,CY,Cyprus
3,20--24,Male,1995,38.3,CY,Cyprus
2,95--99,Both,1960,0,CY,Cyprus
2,0--4,Male,2015,34,CY,Cyprus
3,60--64,Male,2080,37.4,CY,Cyprus
1,5--9,Male,2065,25.5,CY,Cyprus
3,80--84,Male,2030,12.4,CY,Cyprus
2,70--74,Male,2025,24,CY,Cyprus
1,65--69,Male,2100,36.9,CY,Cyprus
1,60--64,Male,2020,31.4,CY,Cyprus
2,90--94,Male,1975,0.2,CY,Cyprus
1,75--79,Male,2075,45,CY,Cyprus
2,100+,Male,1950,0,CY,Cyprus
2,5--9,Female,2005,33.7,CY,Cyprus
2,30--34,Female,2035,35.6,CY,Cyprus
1,10--14,Female,2055,26.1,CY,Cyprus
3,70--74,Female,1965,6.8,CY,Cyprus
3,100+,Female,2075,1.9,CY,Cyprus
3,95--99,Female,1995,0.1,CY,Cyprus
1,65--69,Female,2010,22.1,CY,Cyprus
2,95--99,Female,1965,0,CY,Cyprus
1,All,Both,2100,1363.5,CY,Cyprus
3,20--24,Both,2005,97.7,CY,Cyprus
3,45--49,Both,2035,106.4,CY,Cyprus
1,5--9,Both,2075,44.8,CY,Cyprus
1,15--19,Both,2050,56.4,CY,Cyprus
2,45--49,Both,2005,69.4,CY,Cyprus
2,70--74,Both,2035,62.2,CY,Cyprus
3,100+,Both,1990,0,CY,Cyprus
1,70--74,Both,2005,28.5,CY,Cyprus
2,90--94,Both,1985,1,CY,Cyprus
3,25--29,Male,1995,36,CY,Cyprus
2,100+,Both,1960,0,CY,Cyprus
2,5--9,Male,2015,33.7,CY,Cyprus
3,65--69,Male,2080,32,CY,Cyprus
1,10--14,Male,2065,27.4,CY,Cyprus
3,85--89,Male,2030,5.6,CY,Cyprus
2,75--79,Male,2025,17.9,CY,Cyprus
1,70--74,Male,2100,39.7,CY,Cyprus
